Product_Name,Price,Rating
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,765","4.4 91,385 Ratings & 6,377 Reviews"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹17,746","4.4 91,385 Ratings & 6,377 Reviews"
"OnePlus 10R (Sierra Black, 128 GB)","₹29,580","4.3 3,052 Ratings & 192 Reviews"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹38,795","4.5 5,797 Ratings & 525 Reviews"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹39,398","4.5 5,797 Ratings & 525 Reviews"
"OnePlus 11R 5G (Sonic Black, 256 GB)","₹43,684","4.5 4,829 Ratings & 372 Reviews"
"OnePlus 11R 5G (Galactic Silver, 128 GB)","₹39,023","4.5 5,797 Ratings & 525 Reviews"
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹43,874","4.5 4,829 Ratings & 372 Reviews"
"OnePlus 11R 5G (Sonic Black, 128 GB)","₹39,890","4.5 5,797 Ratings & 525 Reviews"
"OnePlus Nord 3 5G (Misty Green, 256 GB)","₹37,498",4.2 39 Ratings & 3 Reviews
"OnePlus 10R (Forest Green, 128 GB)","₹33,498","4.3 3,052 Ratings & 192 Reviews"
"OnePlus 11R 5G (Sonic Black, 256 GB)","₹44,598","4.5 4,829 Ratings & 372 Reviews"
"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)","₹28,999","4.4 11,323 Ratings & 912 Reviews"
"OnePlus 10R 5G (Forest Green, 256 GB)","₹35,978","4.2 1,910 Ratings & 133 Reviews"
"OnePlus Nord 3 5G (Tempest Gray, 256 GB)","₹37,288",4.2 39 Ratings & 3 Reviews
"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹48,970",4.2 154 Ratings & 13 Reviews
"OnePlus 10R (Forest Green, 256 GB)","₹36,880",4.1 221 Ratings & 7 Reviews
"OnePlus 11 5G (Eternal Green, 256 GB)","₹61,370",4.5 731 Ratings & 74 Reviews
"OnePlus 10R 5G (Prime Blue, 128 GB)","₹30,850","4.3 2,422 Ratings & 174 Reviews"
"OnePlus 11 5G (Titan Black, 256 GB)","₹61,970",4.5 731 Ratings & 74 Reviews
"OnePlus 10R 5G (Forest Green, 256 GB)","₹36,900","4.2 1,910 Ratings & 133 Reviews"
"OnePlus 10R (Sierra Black, 128 GB)","₹30,679","4.3 3,052 Ratings & 192 Reviews"
"OnePlus 10R 5G (Forest Green, 256 GB)","₹35,890","4.2 1,910 Ratings & 133 Reviews"
"OnePlus 10T 5G (Moonstone Black, 128 GB)","₹45,989",4.3 239 Ratings & 17 Reviews
